Player,Yrs,G,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,Date,City,State
Mel Counts,12,789,6516,4756,1100,85,74,0.435,,0.764,"Oct 16, 1941",Coos Bay,Oregon
Josh Davis,4,67,156,115,19,17,5,0.373,0.329,0.724,"Aug 10, 1980",Salem,Oregon
Dan Dickau,6,300,1745,405,752,164,11,0.401,0.341,0.831,"Sep 16, 1978",Portland,Oregon
Dave Gambee,12,750,7935,3891,757,,,0.42,,0.822,"Apr 16, 1937",Portland,Oregon
Thomas Gardner,2,20,45,11,3,4,1,0.305,0.2,0.333,"Feb 08, 1985",Portland,Oregon
Jerami Grant,3,170,1342,630,226,110,223,0.404,0.296,0.622,"Mar 12, 1994",Portland,Oregon
A.C. Green,16,1278,12331,9473,1400,1033,546,0.494,0.254,0.734,"Oct 4, 1963",Portland,Oregon
Bruce Hale,3,142,1297,49,424,,,0.333,,0.763,"Aug 30, 1918",Medford,Oregon
Luke Jackson,4,73,252,89,58,24,3,0.357,0.36,0.732,"Nov 06, 1981",Eugene,Oregon
Jim Jarvis,2,125,728,235,152,,,0.374,0.326,0.803,"Mar 3, 1943",Roseburg,Oregon
Terrence Jones,5,208,2173,1203,213,129,247,0.505,0.297,0.624,"Jan 09, 1992",Portland,Oregon
Aaron Miles,1,19,16,14,24,4,1,0.333,,1,"Apr 13, 1983",Portland,Oregon
Mike Newlin,11,837,12507,2494,3364,702,58,0.466,0.302,0.87,"Jan 2, 1949",Portland,Oregon
Terrence Ross,5,336,3161,862,290,239,100,0.424,0.38,0.808,"Feb 05, 1991",Portland,Oregon
Domantas Sabonis,1,29,177,101,37,17,12,0.435,0.424,0.5,"May 03, 1996",Portland,Oregon
Kyle Singler,5,327,2251,989,264,196,108,0.419,0.365,0.796,"May 04, 1988",Medford,Oregon
Charlie Sitton,1,43,91,60,26,7,6,0.415,0,0.52,"Jul 3, 1962",McMinnville,Oregon
Damon Stoudamire,13,878,11763,3039,5371,953,81,0.406,0.357,0.833,"Sep 03, 1973",Portland,Oregon
Salim Stoudamire,3,157,1260,214,164,55,10,0.407,0.366,0.882,"Oct 11, 1982",Portland,Oregon
