Player,Yrs,G,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,Date,City,State
Charlie Paulk,3,120,741,462,41,,,0.392,,0.611,"Jun 14, 1946",Fitzgerald,Georgia
George Peeples,6,309,2502,2242,304,,,0.441,0,0.639,"Oct 30, 1943",,Georgia
Lavor Postell,3,61,195,45,13,12,2,0.335,0.25,0.795,"Feb 26, 1978",Albany,Georgia
Tim Quarterman,1,10,16,5,4,0,2,0.875,0.667,,"Oct 27, 1994",Savannah,Georgia
Luther Rackley,5,278,1755,1290,179,3,4,0.461,0,0.631,"Jun 11, 1946",Bainbridge,Georgia
Robert Reid,13,919,10448,4168,2500,973,403,0.458,0.291,0.732,"Aug 30, 1955",Atlanta,Georgia
Chris Robinson,2,76,350,117,104,47,13,0.376,0.374,0.571,"Apr 02, 1974",Columbus,Georgia
Jeff Sanders,4,55,112,103,25,18,9,0.395,,0.609,"Jan 14, 1966",Augusta,Georgia
Jeffrey Sheppard,1,18,40,22,16,3,0,0.385,0.286,0.615,"Sep 29, 1974",Marietta,Georgia
Garret Siler,1,21,45,28,3,1,4,0.548,,0.5,"Oct 25, 1986",Augusta,Georgia
Chris Singleton,3,148,612,472,92,117,57,0.376,0.319,0.633,"Nov 21, 1989",Canton,Georgia
Derek Smith,9,408,5232,1300,866,265,175,0.499,0.294,0.753,"Nov 1, 1961",Hogansville,Georgia
Elmore Smith,8,562,7541,5962,808,325,1183,0.482,,0.579,"May 9, 1949",Macon,Georgia
Jabari Smith,4,108,329,178,66,37,26,0.413,0.125,0.69,"Feb 12, 1977",Atlanta,Georgia
Josh Smith,12,891,12994,6649,2789,1083,1713,0.453,0.285,0.632,"Dec 05, 1985",College Park,Georgia
Elmore Spencer,5,157,923,555,109,53,170,0.516,0,0.58,"Dec 6, 1969",Atlanta,Georgia
Mark Strickland,8,281,1281,771,102,79,110,0.488,0.222,0.668,"Jul 14, 1970",Atlanta,Georgia
Aaron Swinson,1,9,24,8,3,1,0,0.556,,0.8,"Jan 09, 1971",Brunswick,Georgia
Joe Thomas,1,39,55,43,17,,,0.267,,0.45,"Mar 9, 1948",Canton,Georgia
Kenny Thomas,11,632,5876,4341,975,527,276,0.465,0.244,0.699,"Jul 25, 1977",Atlanta,Georgia
Al Thornton,4,296,3527,1233,353,185,152,0.452,0.293,0.747,"Dec 07, 1983",Perry,Georgia
Sedale Threatt,14,951,9327,1709,3613,1138,136,0.485,0.293,0.815,"Sep 10, 1961",Atlanta,Georgia
Ansley Truitt,1,16,39,38,2,,,0.429,,0.333,"Aug 24, 1950",West Point,Georgia
Kenny Walker,7,448,3128,1793,299,235,299,0.485,0.206,0.749,"Aug 18, 1964",Roberta,Georgia
Perry Warbington,1,5,10,8,16,0,0,0.19,,1,"Sep 7, 1952",Atlabta,Georgia
Charlie Ward,11,630,3947,1648,2539,776,128,0.408,0.364,0.771,"Oct 12, 1970",Thomasville,Georgia
John Warren,5,303,1814,687,564,27,6,0.43,,0.827,"Jul 7, 1947",Sparta,Georgia
Eddie Lee Wilkins,6,322,1534,1002,62,82,60,0.47,0,0.564,"May 7, 1962",Cartersville,Georgia
Gerald Wilkins,13,900,11736,2646,2697,907,208,0.45,0.316,0.745,"Sep 11, 1963",Atlanta,Georgia
Corey Williams,2,39,92,37,29,6,2,0.367,0.25,0.826,"Apr 24, 1970",Twiggs,Georgia
Dontonio Wingfield,4,114,423,275,76,39,15,0.389,0.309,0.721,"Jun 23, 1974",Albany,Georgia
Al Wood,6,417,4902,1262,742,310,159,0.465,0.211,0.789,"Jun 2, 1958",Gray,Georgia
Sharone Wright,4,203,1974,1023,118,82,203,0.456,0.083,0.618,"Jan 30, 1973",Macon,Georgia
Cedric Ceballos,11,609,8693,3258,723,450,183,0.5,0.309,0.753,"Aug 2, 1969",Maui,Hawaii
Red Rocha,9,586,6362,2747,1153,,,0.37,,0.759,"Sep 18, 1923",Hilo,Hawaii
Charlie Black,3,136,1245,31,312,,,0.283,,0.601,"Jun 15, 1921",Arco,Idaho
Steve Hayes,5,212,545,526,85,32,102,0.482,0,0.5,"Aug 2, 1955",American Falls,Idaho
Luke Ridnour,12,830,7740,1877,3713,814,161,0.431,0.349,0.862,"Feb 13, 1981",Coeur d'Alene,Idaho
Dale Wilkinson,1,12,14,4,2,0,0,0.25,0,0.857,"Mar 18, 1960",Pocatello,Idaho
Mark Aguirre,13,923,18458,4578,2871,687,296,0.484,0.312,0.741,"Dec 10, 1959",Chicago,Illinois
Cliff Alexander,1,8,10,6,0,1,2,0.5,,,"Nov 16, 1995",Chicago,Illinois
Tony Allen,13,751,6147,2575,993,1074,318,0.476,0.277,0.716,"Jan 11, 1982",Chicago,Illinois
Ashraf Amaya,2,85,379,355,36,29,13,0.455,0.5,0.633,"Nov 23, 1971",Oak Park,Illinois
Eric Anderson,2,27,42,31,5,3,2,0.343,1,0.593,"May 26, 1970",Chicago,Illinois
J.J. Anderson,3,157,751,439,110,107,39,0.465,0,0.558,"Sep 23, 1960",Chicago,Illinois
Nick Anderson,13,800,11529,4064,2087,1114,364,0.446,0.356,0.667,"Jan 20, 1968",Chicago,Illinois
Ron Anderson,10,664,7056,2312,952,470,90,0.471,0.287,0.814,"Oct 15, 1958",Chicago,Illinois
Jim Ard,8,431,1909,1832,278,59,121,0.402,0.235,0.662,"Sep 19, 1948",Harvey,Illinois
James Augustine,2,27,42,33,4,5,2,0.514,,0.5,"Feb 27, 1984",Midlothian,Illinois
Maurice Baker,1,5,0,2,1,1,0,0,,,"Jul 28, 1979",Granite City,Illinois
Kenny Battle,4,134,627,327,106,98,31,0.504,0.133,0.725,"Oct 10, 1964",Aurora,Illinois
Lloyd Batts,1,58,598,197,106,73,6,0.366,0.286,0.617,"May 9, 1951",Chicago,Illinois
Elmer Behnke,1,4,16,17,4,,,0.273,,0.571,"Feb 3, 1929",Rockford,Illinois
Elmer Bennett,3,21,48,10,22,9,1,0.34,0.273,0.722,"Feb 13, 1970",Evanston,Illinois
Patrick Beverley,5,243,2231,910,790,293,103,0.414,0.374,0.761,"Jul 12, 1988",Chicago,Illinois
Cory Blackwell,1,60,202,96,26,25,3,0.367,0,0.509,"Mar 27, 1963",Chicago,Illinois
Bucky Bockhorn,7,474,5430,2234,1645,,,0.403,,0.748,"Jul 8, 1933",Campbell Hill,Illinois
George Bon Salle,1,3,4,2,0,,,0.25,,,"Jul 1, 1935",Chicago,Illinois
Walter Bond,3,153,873,289,177,97,34,0.409,0.299,0.767,"Feb 1, 1969",Chicago,Illinois
Donnie Boyce,2,30,79,25,16,13,5,0.349,0.25,0.5,"Sep 02, 1973",Chicago,Illinois
A.J. Bramlett,1,8,8,22,0,1,0,0.19,,,"Jan 10, 1977",Dekalb,Illinois
Brad Branson,2,72,391,206,52,32,30,0.422,0,0.725,"Sep 24, 1958",Harvey,Illinois
Jim Brewer,9,703,4099,4458,1038,556,510,0.448,0.077,0.571,"Dec 3, 1951",Maywood,Illinois
Andre Brown,3,75,197,178,11,14,8,0.516,0,0.5,"May 12, 1981",Chicago,Illinois
Randy Brown,12,655,3148,1173,1420,722,156,0.417,0.2,0.691,"May 22, 1968",Chicago,Illinois
Roger Brown,5,239,585,835,118,52,130,0.406,1,0.624,"Feb 23, 1950",Chicago,Illinois
Shannon Brown,9,408,3118,760,458,284,90,0.42,0.332,0.807,"Nov 29, 1985",Maywood,Illinois
Tony Brown,7,360,2163,766,563,234,40,0.437,0.259,0.719,"Jul 29, 1960",Chicago,Illinois
Jim Browne,2,35,50,,8,,,0.36,,0.483,"Jan 1, 1930",Midlothian,Illinois
Em Bryant,8,566,3722,1593,1700,,,0.41,,0.69,"Nov 4, 1938",Chicago,Illinois
Quinn Buckner,10,719,5929,1969,3114,1337,80,0.461,0.184,0.657,"Aug 20, 1954",Phoenix,Illinois
Will Bynum,8,360,2921,561,1185,256,29,0.442,0.272,0.799,"Jan 04, 1983",Chicago,Illinois
Corky Calhoun,8,542,2896,1962,601,293,132,0.46,,0.782,"Nov 1, 1950",Waukegan,Illinois
Brian Cardinal,12,456,2108,1050,465,295,69,0.408,0.372,0.861,"May 02, 1977",Tolono,Illinois
Howie Carl,1,31,170,39,57,,,0.333,,0.706,"Jun 7, 1938",Chicago,Illinois
Maurice Cheeks,15,1101,12195,3088,7392,2310,294,0.523,0.255,0.793,"Sep 8, 1956",Chicago,Illinois
Keon Clark,6,353,2882,2096,322,184,571,0.5,0.053,0.645,"Apr 16, 1975",Danville,Illinois
Doug Collins,8,415,7427,1339,1368,518,114,0.501,0,0.833,"Jul 28, 1951",Christopher,Illinois
Sherron Collins,1,20,17,5,8,2,0,0.28,0.2,1,"Mar 18, 1987",Chicago,Illinois
Brian Cook,9,421,2312,1115,252,135,134,0.439,0.382,0.783,"Dec 04, 1980",Lincoln,Illinois
Norm Cook,2,27,65,30,6,10,3,0.373,,0.529,"Mar 21, 1955",Chicago,Illinois
Jack Cooley,1,16,27,25,1,6,3,0.409,,0.429,"Apr 04, 1991",Evanston,Illinois
Dave Corzine,13,891,7615,5262,1477,369,848,0.484,0.189,0.747,"Apr 25, 1956",Arlington Heights,Illinois
Robert Covington,4,169,2067,881,233,245,89,0.385,0.354,0.804,"Dec 14, 1990",Bellwood,Illinois
Jeff Cross,1,21,26,30,1,2,3,0.25,,0.56,"Sep 1, 1961",Chicago,Illinois
Russell Cross,1,45,166,82,22,12,7,0.571,,0.418,"Sep 5, 1961",Chicago,Illinois
Terry Cummings,18,1183,19460,8630,2190,1255,650,0.484,0.295,0.706,"Mar 15, 1961",Chicago,Illinois
Eddy Curry,11,527,6820,2725,287,155,384,0.545,1,0.642,"Dec 05, 1982",Harvey,Illinois
Anthony Davis,5,289,6261,2844,496,385,705,0.513,0.281,0.784,"Mar 11, 1993",Chicago,Illinois
Jimmy Dawson,1,21,118,21,32,,,0.346,0.143,0.581,"Apr 18, 1945",Oak Park,Illinois
Todd Day,8,483,5917,1649,713,532,291,0.406,0.345,0.739,"Jan 07, 1970",Decatur,Illinois
Justin Dentmon,2,8,26,8,10,2,0,0.333,0.143,0.667,"Sep 05, 1985",Carbondale,Illinois
Bruce Douglas,1,8,14,14,17,9,0,0.292,0,0,"Apr 9, 1964",Quincy,Illinois
Nate Driggers,1,15,36,22,6,3,2,0.302,0,0.714,"Oct 12, 1973",Chicago,Illinois
Kevin Duckworth,11,684,8085,3945,598,329,316,0.468,0.208,0.736,"Apr 1, 1964",Harvey,Illinois
Tony Dumas,4,156,1140,198,186,65,19,0.404,0.327,0.608,"Aug 25, 1972",Chicago,Illinois
Acie Earl,4,193,980,517,61,63,126,0.403,0,0.667,"Jun 23, 1970",Peoria,Illinois
Dike Eddleman,4,267,3224,915,551,,,0.352,,0.63,"Dec 27, 1922",Centralia,Illinois
Bo Ellis,3,168,613,482,113,69,84,0.431,0,0.731,"Aug 8, 1954",Chicago,Illinois
LaPhonso Ellis,11,624,7410,4032,981,433,477,0.452,0.302,0.73,"May 05, 1970",East St. Louis,Illinois
Melvin Ely,9,375,1992,1215,261,99,209,0.46,0,0.625,"May 02, 1978",Harvey,Illinois
Scott English,3,105,593,423,107,50,20,0.414,0.1,0.77,"Oct 20, 1950",Evanston,Illinois
Brian Evans,3,102,375,164,77,35,18,0.381,0.343,0.82,"Sep 13, 1973",Rockford,Illinois
Bobby Fields,1,22,54,30,20,,,0.458,0.286,0.615,"Oct 20, 1949",Chicago,Illinois
Michael Finley,15,1103,17306,4804,3245,996,323,0.444,0.375,0.811,"Mar 06, 1973",Melrose Park,Illinois
Al Fleming,1,20,40,30,7,0,5,0.484,,0.588,"Apr 5, 1954",Chicago,Illinois
Donnie Freeman,9,648,12233,2292,2292,170,48,0.456,0.151,0.8,"Jul 18, 1944",Madison,Illinois
Larry Friend,1,44,175,106,47,,,0.327,,0.659,"Apr 14, 1935",Chicago,Illinois
Elmer Gainer,2,20,29,,10,,,0.227,,0.643,"Nov 22, 1918",Chicago,Illinois
Chad Gallagher,1,2,6,0,0,0,0,1,,,"May 30, 1969",Rockford,Illinois
Harry Gallatin*,10,682,8843,6684,1208,,,0.398,,0.773,"Apr 26, 1927",Roxana,Illinois
Kevin Gamble,10,649,6154,1457,1300,470,176,0.502,0.36,0.81,"Nov 13, 1965",Springfield,Illinois
Bill Garner,1,53,81,119,24,,,0.272,0,0.5,"Jun 17, 1940",East St. Louis,Illinois
Kiwane Garris,2,31,72,20,30,7,1,0.32,0.333,0.76,"Sep 24, 1974",Chicago,Illinois
Kendall Gill,15,966,12914,4002,2945,1519,432,0.434,0.3,0.754,"May 25, 1968",Chicago,Illinois
Rickey Green,14,946,8870,1819,5221,1348,51,0.469,0.207,0.807,"Aug 18, 1954",Chicago,Illinois
Derek Grimm,1,9,14,4,0,3,1,0.286,0.333,1,"Aug 03, 1974",Peoria,Illinois
A.J. Guyton,3,80,442,80,147,20,12,0.377,0.378,0.822,"Feb 12, 1978",Peoria,Illinois
Mike Hall,1,2,2,2,1,0,0,0.25,,,"Jun 05, 1984",Chicago,Illinois
Thomas Hamilton,2,33,107,112,16,4,23,0.4,,0.463,"Apr 03, 1975",Chicago,Illinois
Julian Hammond,5,329,3547,2036,421,,,0.514,0,0.691,"May 27, 1943",Chicago,Illinois
Luke Harangody,2,70,253,196,36,21,20,0.376,0.241,0.737,"Jan 02, 1988",Decatur,Illinois
Tim Hardaway,13,867,15373,2855,7095,1428,129,0.431,0.355,0.782,"Sep 1, 1966",Chicago,Illinois
Mike Harper,2,123,613,432,71,78,102,0.474,0,0.559,"Dec 9, 1957",Chicago,Illinois
Billy Harris,1,76,609,122,111,55,6,0.398,0.219,0.677,"Nov 12, 1951",Chicago,Illinois
Hersey Hawkins,13,983,14470,3554,2860,1622,302,0.461,0.394,0.87,"Sep 29, 1966",Chicago,Illinois
Tom Hawkins,10,764,6672,4607,871,,,0.447,,0.57,"Dec 22, 1936",Chicago,Illinois
Nate Hawthorne,3,162,882,333,108,72,42,0.421,,0.66,"Jan 15, 1950",Mt. Vernon,Illinois
Luther Head,6,348,2842,845,747,254,43,0.423,0.388,0.773,"Nov 26, 1982",Chicago,Illinois
Phil Hicks,2,57,132,94,32,13,0,0.447,,0.778,"Jan 31, 1953",Chicago,Illinois
Lew Hitch,6,414,2075,2183,499,,,0.376,,0.674,"Jul 16, 1929",Griggsville,Illinois
Craig Hodges,10,695,5940,937,1769,553,26,0.461,0.4,0.828,"Jun 27, 1960",Park Forest,Illinois
Randy Holcomb,1,4,2,1,0,0,0,1,,,"Aug 08, 1979",Chicago,Illinois
Richaun Holmes,2,72,432,226,51,32,59,0.513,0.234,0.67,"Oct 15, 1993",Lockport,Illinois
Jeff Hornacek,14,1077,15659,3646,5281,1536,226,0.496,0.403,0.877,"May 3, 1963",Elmhurst,Illinois
Ed Horton,1,45,202,108,19,9,5,0.494,0,0.609,"Dec 17, 1967",Springfield,Illinois
Juwan Howard,19,1208,16159,7428,2663,818,312,0.469,0.12,0.764,"Feb 07, 1973",Chicago,Illinois
Troy Hudson,11,517,4637,877,1748,273,30,0.401,0.339,0.858,"Mar 13, 1976",Carbondale,Illinois
Alfredrick Hughes,1,68,356,113,61,26,5,0.409,0.176,0.583,"Jul 19, 1962",Chicago,Illinois
Kim Hughes,6,425,1624,2367,374,419,502,0.479,,0.397,"Jun 4, 1952",Freeport,Illinois
Steven Hunter,8,400,1817,1264,79,49,422,0.56,0,0.485,"Oct 31, 1981",Chicago,Illinois
Andre Iguodala,13,928,12271,4925,4230,1496,435,0.462,0.333,0.714,"Jan 28, 1984",Springfield,Illinois
Byron Irvin,3,87,451,123,73,44,3,0.471,0.35,0.722,"Dec 2, 1966",LaGrange,Illinois
Dan Issel*,15,1218,27482,11133,2907,943,532,0.499,0.204,0.793,"Oct 25, 1948",Batavia,Illinois
Othyus Jeffers,3,37,139,95,22,21,0,0.46,0.167,0.667,"Aug 05, 1985",Chicago,Illinois
Armon Johnson,2,47,157,49,56,10,1,0.458,0.4,0.679,"Feb 23, 1989",Chicago,Illinois
Eddie Johnson,17,1199,19202,4832,2550,739,180,0.472,0.335,0.84,"May 1, 1959",Chicago,Illinois
Linton Johnson,6,151,582,493,65,84,63,0.416,0.305,0.699,"Jun 13, 1980",Chicago,Illinois
Mickey Johnson,12,904,12748,6465,2677,1025,632,0.449,0.165,0.8,"Aug 31, 1952",Chicago,Illinois
Reggie Jordan,6,186,500,343,190,92,31,0.433,0.333,0.585,"Jan 26, 1968",Chicago,Illinois
Frank Kaminsky,2,108,880,461,165,54,53,0.401,0.322,0.711,"Apr 04, 1993",Winfield,Illinois
Wilbert Kautz,1,50,253,,37,,,0.255,,0.534,"Sep 7, 1915",Chicago,Illinois
Red Kerr,12,905,12480,10092,2004,,,0.418,,0.723,"Jul 17, 1932",Chicago,Illinois
Walt Kirk,3,118,907,44,249,,,0.305,,0.718,"Sep 3, 1924",Mount Vernon,Illinois
Tom Kondla,1,42,138,125,13,,,0.4,0,0.478,"Nov 30, 1946",Brookfield,Illinois
Ronald Kozlicki,1,37,109,69,14,,,0.339,0.207,0.618,"Dec 12, 1944",Chicago,Illinois
Steve Kuberski,9,568,3114,2146,338,38,28,0.417,,0.767,"Nov 6, 1947",Moline,Illinois
C.J. Kupec,3,147,606,313,108,31,7,0.427,,0.772,"Jan 16, 1953",Oak Lawn,Illinois
Bob Lackey,2,71,413,164,137,1,0,0.431,0.4,0.593,"Apr 4, 1949",Evanston,Illinois
Sean Lampley,2,45,203,94,33,7,4,0.463,0,0.691,"Sep 03, 1979",Harvey,Illinois
Dan Langhi,4,133,393,199,39,30,12,0.391,0.289,0.613,"Nov 28, 1977",Chicago,Illinois
Priest Lauderdale,2,74,255,143,33,8,26,0.472,0,0.554,"Aug 31, 1973",Chicago,Illinois
Doug Lee,3,73,168,42,32,17,5,0.412,0.31,0.7,"Oct 24, 1964",Washington,Illinois
Gary Leonard,3,31,44,34,2,4,10,0.459,0,0.5,"Feb 16, 1967",Belleville,Illinois
Jim Les,7,321,1210,396,930,169,20,0.397,0.396,0.818,"Aug 18, 1963",Niles,Illinois
Marcus Liberty,4,267,1942,925,244,189,73,0.417,0.34,0.664,"Oct 27, 1968",Chicago,Illinois
DeAndre Liggins,4,76,150,106,42,35,10,0.445,0.412,0.545,"Mar 31, 1988",Chicago,Illinois
Shaun Livingston,12,650,4327,1648,2141,493,247,0.48,0.188,0.792,"Sep 11, 1985",Peoria,Illinois
Scott Lloyd,6,372,1694,1114,356,100,73,0.425,0.286,0.718,"Dec 19, 1952",Chicago,Illinois
Sam Mack,7,259,2011,533,336,164,37,0.4,0.374,0.831,"May 26, 1970",Chicago,Illinois
Corey Maggette,14,827,13198,4022,1696,590,139,0.453,0.324,0.822,"Nov 12, 1979",Melrose Park,Illinois
Renaldo Major,1,1,5,2,0,2,0,0.2,,0.5,"May 07, 1982",Chicago,Illinois
Shawn Marion,16,1163,17700,10101,2198,1759,1233,0.484,0.331,0.81,"May 07, 1978",Waukegan,Illinois
LaRue Martin,4,271,1430,1258,203,46,98,0.416,,0.685,"Mar 30, 1950",Chicago,Illinois
Marlon Maxey,2,98,479,363,22,27,51,0.542,0,0.685,"Feb 19, 1969",Chicago,Illinois
Jason Maxiell,10,618,3481,2576,266,230,490,0.495,0,0.564,"Feb 18, 1983",Chicago,Illinois
Sean May,4,119,821,481,115,53,47,0.458,0.231,0.746,"Apr 04, 1984",Chicago,Illinois
Ken Mayfield,1,13,37,8,4,0,0,0.37,,1,"May 11, 1948",Chicago,Illinois
Mel McCants,1,13,22,6,2,3,1,0.308,,0.75,"Aug 19, 1967",Chicago,Illinois
Kelly McCarty,1,2,4,3,0,0,0,0.667,,,"Aug 24, 1975",Chicago,Illinois
Amal McCaskill,4,114,204,213,36,24,36,0.377,0,0.609,"Oct 28, 1973",Maywood,Illinois
Glenn McDonald,3,146,609,215,99,51,25,0.4,,0.732,"Mar 18, 1952",Kewanee,Illinois
Billy McKinney,7,476,3823,677,1661,353,40,0.493,0.063,0.82,"Jun 5, 1955",Waukegan,Illinois
Jerel McNeal,1,6,9,3,2,3,1,0.273,0.5,1,"Jun 01, 1987",Chicago,Illinois
Paul McPherson,1,55,262,79,38,25,4,0.505,0.167,0.724,"Jul 03, 1978",Chicago,Illinois
Scott Meents,2,39,72,40,15,11,7,0.361,1,0.704,"Jan 4, 1964",Kankakee,Illinois
George Mikan*,7,439,10156,4167,1245,,,0.404,,0.782,"Jun 18, 1924",Joliet,Illinois
Darius Miles,7,446,4507,2190,840,384,495,0.472,0.168,0.59,"Oct 09, 1981",Belleville,Illinois
Quincy Miller,3,69,295,169,37,30,37,0.35,0.292,0.706,"Nov 18, 1992",Chicago,Illinois
Nazr Mohammed,18,1005,5827,4708,375,432,639,0.486,0,0.64,"Sep 05, 1977",Chicago,Illinois
Wayne Molis,2,59,280,192,41,,,0.417,0.667,0.649,"Apr 17, 1943",Chicago,Illinois
Andre Moore,1,10,24,14,6,2,1,0.333,,0.75,"Jul 2, 1964",Chicago,Illinois
Rex Morgan,2,62,172,91,39,,,0.375,,0.682,"Oct 27, 1948",Charleston,Illinois
Jerry Nagel,1,14,13,,18,,,0.214,,0.25,"May 18, 1928",Chicago,Illinois
Howard Nathan,1,5,13,0,2,3,0,0.556,0,0.75,"Jan 21, 1972",Peoria,Illinois
Tyrone Nesby,4,255,2431,941,370,264,93,0.404,0.316,0.772,"Jan 31, 1976",Cairo,Illinois
Carl Nicks,3,156,1067,297,249,132,7,0.462,0,0.57,"Oct 6, 1958",Chicago,Illinois
Ken Norman,10,646,8717,3949,1355,517,431,0.486,0.312,0.567,"Sep 5, 1964",Chicago,Illinois
Mike Novak,3,125,420,2,175,,,0.31,,0.566,"Apr 23, 1915",Chicago,Illinois
Steve Novak,11,463,2172,590,132,91,38,0.437,0.43,0.877,"Jun 13, 1983",Libertyville,Illinois
Don Ohl,10,727,11549,2163,2243,,,0.434,,0.732,"Apr 18, 1936",Murphysboro,Illinois
Jahlil Okafor,2,77,1200,495,90,31,90,0.509,0.167,0.665,"Dec 15, 1995",Chicago,Illinois
Jawann Oldham,10,329,1455,1353,162,97,546,0.479,0,0.607,"Jul 4, 1957",Chicago,Illinois
Brian Oliver,4,118,389,123,114,45,6,0.388,0.227,0.705,"Jun 1, 1968",Chicago,Illinois
Dean Oliver,2,35,64,24,44,10,0,0.32,0.158,0.765,"Nov 05, 1978",Quincy,Illinois
Jannero Pargo,11,499,3175,701,986,250,28,0.391,0.356,0.864,"Oct 22, 1979",Chicago,Illinois
Jeremy Pargo,2,83,391,86,147,28,2,0.373,0.313,0.652,"Mar 17, 1986",Chicago,Illinois
Anthony Parker,9,494,4478,1574,1129,439,85,0.444,0.404,0.794,"Jun 19, 1975",Naperville,Illinois
Jabari Parker,3,128,1921,683,230,130,40,0.491,0.336,0.746,"Mar 15, 1995",Chicago,Illinois
Sonny Parker,6,452,4471,1841,954,611,151,0.501,0,0.755,"Mar 22, 1955",Chicago,Illinois
Roger Phegley,6,345,3011,702,486,171,40,0.47,0.253,0.834,"Oct 16, 1956",East Peoria,Illinois
Jack Phelan,1,55,226,,57,,,0.325,,0.578,"Nov 6, 1925",Chicago,Illinois
Andy Phillip*,11,701,6384,2395,3759,,,0.368,,0.695,"Mar 7, 1922",Granite City,Illinois
Gary Phillips,5,348,2319,903,665,,,0.37,,0.629,"Dec 7, 1939",Quincy,Illinois
Kevin Porter,10,659,7645,1179,5314,830,72,0.483,0.188,0.737,"Apr 17, 1950",Chicago,Illinois
Roger Powell,1,3,2,3,0,0,0,0,0,1,"Jan 15, 1983",Joliet,Illinois
Marlbert Pradd,2,79,332,76,26,,,0.439,0.231,0.774,"Nov 17, 1944",Chicago,Illinois
George Ratkovicz,6,343,3141,1937,791,,,0.372,,0.673,"Nov 13, 1922",Chicago,Illinois
Don Rehfeldt,2,98,692,494,118,,,0.37,,0.758,"Jan 7, 1927",Chicago,Illinois
Kendall Rhine,2,125,786,1039,181,,,0.388,0,0.548,"Feb 13, 1943",Eldorado,Illinois
Quentin Richardson,13,783,8032,3666,1138,607,148,0.397,0.355,0.718,"Apr 13, 1980",Chicago,Illinois
Doc Rivers,13,864,9377,2625,4889,1563,351,0.444,0.328,0.784,"Oct 13, 1961",Chicago,Illinois
Flynn Robinson,8,543,7577,1372,1628,23,2,0.456,0.267,0.846,"Apr 28, 1941",Elgin,Illinois
Bill Robinzine,7,529,5541,3209,560,563,84,0.482,0.25,0.749,"Jan 20, 1953",Chicago,Illinois
Derrick Rose,8,430,8402,1584,2624,344,167,0.449,0.3,0.814,"Oct 04, 1988",Chicago,Illinois
Joe Ruklick,3,114,398,286,48,,,0.366,,0.613,"Aug 3, 1938",Princeton,Illinois
Cazzie Russell,12,817,12377,3068,1838,239,33,0.464,,0.827,"Jun 7, 1944",Chicago,Illinois
Russ Schoene,4,290,1491,735,175,121,71,0.435,0.335,0.751,"Apr 16, 1960",Trenton,Illinois
Lee Shaffer,3,196,3291,1240,232,,,0.42,,0.776,"Feb 23, 1939",Chicago,Illinois
Iman Shumpert,6,320,2356,1132,644,394,71,0.397,0.342,0.762,"Jun 26, 1990",Oak Park,Illinois
Jack Sikma,14,1107,17287,10816,3488,1162,1048,0.464,0.328,0.849,"Nov 14, 1955",Kankakee,Illinois
Bobby Simmons,10,466,4189,1791,710,396,83,0.437,0.396,0.823,"Jun 02, 1980",Chicago,Illinois
James Singleton,5,243,954,910,109,97,117,0.462,0.292,0.833,"Jul 20, 1981",Chicago,Illinois
Jerry Sloan*,11,755,10571,5615,1925,381,32,0.427,,0.722,"Mar 28, 1942",McLeansboro,Illinois
Al Smith,5,337,3298,865,1793,169,12,0.407,0.292,0.773,"Jan 15, 1947",Peoria,Illinois
Leon Smith,2,15,33,33,3,5,1,0.393,,0.647,"Nov 02, 1980",Chicago,Illinois
Ron Sobie,4,192,1619,791,353,,,0.379,,0.808,"Sep 21, 1934",Chicago,Illinois
Everette Stephens,2,38,71,23,39,9,4,0.333,0.2,0.792,"Oct 21, 1966",Evanston,Illinois
Awvee Storey,3,60,143,81,21,10,2,0.414,0.25,0.511,"Apr 18, 1977",Chicago,Illinois
Barry Sumpter,1,1,0,0,0,0,0,0,,,"Nov 11, 1965",Brooklyn,Illinois
Don Sunderlage,2,113,874,281,224,,,0.326,,0.732,"Dec 20, 1929",Roselle,Illinois
Norm Swanson,1,63,100,110,33,,,0.226,,0.594,"Oct 4, 1930",Chicago,Illinois
Jay Taylor,1,17,51,11,5,5,3,0.404,0.231,0.667,"Oct 3, 1967",Aurora,Illinois
Mike Taylor,1,51,289,87,106,36,0,0.412,0.325,0.691,"Jan 21, 1986",Chicago,Illinois
Isiah Thomas*,13,979,18822,3478,9061,1861,249,0.452,0.29,0.759,"Apr 30, 1961",Chicago,Illinois
Skip Thoren,3,170,2239,1875,329,,,0.465,0,0.612,"Apr 5, 1943",Rockford,Illinois
Andy Toolson,2,60,159,73,32,14,2,0.397,0.341,0.757,"Jan 19, 1966",Chicago,Illinois
Alando Tucker,3,51,211,49,16,5,2,0.423,0.294,0.783,"Feb 11, 1984",Lockport,Illinois
Evan Turner,7,498,5300,2538,1850,413,113,0.431,0.304,0.781,"Oct 27, 1988",Chicago,Illinois
Kelvin Upshaw,3,120,649,145,257,81,9,0.453,0.237,0.795,"Jan 24, 1963",Chicago,Illinois
Darnell Valentine,9,620,5400,1318,3080,910,58,0.437,0.261,0.787,"Feb 3, 1959",Chicago,Illinois
Fred VanVleet,1,8,11,3,7,5,0,0.385,0.333,,"Feb 25, 1994",Rockford,Illinois
Dwyane Wade,14,881,20722,4234,5038,1452,777,0.486,0.287,0.768,"Jan 17, 1982",Chicago,Illinois
Andre Wakefield,2,81,187,80,73,20,2,0.354,,0.708,"Jan 11, 1955",Chicago,Illinois
